WatsonGearCode,VonBrandt3Code,VonBrandtDescription,FAOGearName,FAOGearAbbrev,FAOGearCode,WatsonFGearCode,WatsonFGearLabel,WatsonFleetGearName,GilmanGear25Code,GilmanGear25Description,GilmanGear8Code,GilmanGear8Name,GFWClass,GFWCategory,FADs
100,1,without gear,Miscellaneous Gear,MIS,20.0.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
110,1.1,grasping with hand,Miscellaneous Gear,MIS,20.0.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
120,1.2,by diving,Miscellaneous Gear,MIS,20.0.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
213,2.1.3,raking devices,Miscellaneous Gear,MIS,20.0.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
214,2.1.4,tongs,Harpoons,HAR,10.1.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
221,2.2.1,spears and lances ,Harpoons,HAR,10.1.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
225,2.2.5,harpoons ,Harpoons,HAR,10.1.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
312,3.1.2,explosives ,Miscellaneous Gear,MIS,20.0.0,1,OTH,Other,MIS,Miscellaneous,mis,miscelanea,,,
400,4,Lines,Hooks and lines,C9,09.0.0,2,PLO,Lines Non-tuna,PL_,Pole-and-line,hl,handline,pole_and_line,pole_and_line,
420,4.2,with gorges or hooks ,Hooks and lines,C9,09.0.2,2,PLO,Lines Non-tuna,PL_,Pole-and-line,hl,handline,pole_and_line,pole_and_line,
421,4.2.1,handlines ,Handlines and pole-lines (hand operated),LHP,09.1.0,2,PLO,Lines Non-tuna,HL_,Handlines,hl,handline,pole_and_line,pole_and_line,
421,4.2.1,handlines ,Handlines and pole-lines (mechanized),LHM,09.2.0,2,PLO,Lines Non-tuna,PL_,Pole-and-line,hl,handline,pole_and_line,pole_and_line,
422,4.2.2,set lines,Set Longlines,LLS,09.3.0,3,LLO,Longline Non-tuna,LL_,Longlines - unspecified,ll,longline,set_longlines,set_longlines,
423,4.2.3,drift lines,Drifting longlines,LLD,09.4.0,3,LLO,Longline Non-tuna,LL_,Longlines - unspecified,ll,longline,drifting_longlines,drifting_longlines,
422,4.2.2,set lines,Set longlines,LLS,09.3.0,3,LLO,Longline Non-tuna,LLB,Longlines - bottom,ll,longline,set_longlines,set_longlines,
423,4.2.3,drift lines,Drifting longlines,LLD,09.4.0,3,LLO,Longline Non-tuna,LLP,Longlines - pelagic,ll,longline,drifting_longlines,drifting_longlines,
424,4.2.4,troll lines,Trolling lines,LTL,09.6.0,2,PLO,Lines Non-tuna,LTL,Trolling lines ,ll,longline,trollers,trollers,
432,4.3.2,pilks or jigs,Handlines and pole-lines (mechanized),LHM,09.2.0,2,PLO,Lines Non-tuna,PL_,Pole-and-line,hl,handline,pole_and_line,pole_and_line,
433,4.3.3,squid hooks,Handlines and pole-lines (mechanized),LHM,09.2.0,2,PLO,Lines Non-tuna,PL_,Pole-and-line,hl,handline,squid_jigger,squid_jigger,
440,4.4,pole line tuna,Handlines and pole-lines (mechanized),LHM,09.2.0,12,PLT,Pole and Line Tuna,PL_,Pole-and-line,hl,handline,pole_and_line,pole_and_line,
450,4.5,longline tuna,Longlines (not specified),LL,09.5.0,13,LLT,LonglineTuna,LLB,Longlines - bottom,ll,longline,set_longlines,set_longlines,
450,4.5,longline tuna,Longlines (not specified),LL,09.5.0,13,LLT,LonglineTuna,LLP,Longlines - pelagic,ll,longline,drifting_longlines,drifting_longlines,
500,5,traps,Traps,C8,08.0.0,4,TRP,Trap,FPO,Pots ,po,pot,pots_and_traps,pots_and_traps,
540,5.4,tubular traps,Traps (not specified),FIX,08.9.0,4,TRP,Trap,FPO,Pots ,po,pot,pots_and_traps,pots_and_traps,
551,5.5.1,pots,Pots,FPO,08.2.0,4,TRP,Trap,FPO,Pots ,po,pot,pots_and_traps,pots_and_traps,
552,5.5.2,conical and drum-like traps,Fyke nets,FYK,08.3.0,4,TRP,Trap,FPO,Pots ,po,pot,pots_and_traps,pots_and_traps,
553,5.5.3,box-like traps,Pots,FPO,08.2.0,4,TRP,Trap,FPO,Pots ,po,pot,pots_and_traps,pots_and_traps,
560,5.6,trapping gear,"Barriers, fences, weirs, etc.",FWR,08.5.0,4,TRP,Trap,FWR,"Barriers, fences, traps, etc. ",mis,miscelanea,,pots_and_traps,
563,5.6.3,pound nets,Stationary uncovered pound nets,FPN,08.1.0,4,TRP,Trap,FWR,"Barriers, fences, traps, etc. ",mis,miscelanea,,pots_and_traps,
700,7,bagnets,Stow nets,FSN,08.4.0,4,TRP,Trap,FSN,Stow nets ,ne,net,,set_gillnets,
830,8.3,dredges,Boat dredges,DRB,04.1.0,5,DRG,Dredge,DRB ,Boat dredges ,dr,dredge,dredge_fishing,dredge_fishing,
831,8.3.1,hand dredges,Hand dredges,DRH,04.2.0,5,DRG,Dredge,,,,dredge,dredge_fishing,dredge_fishing,
840,8.4,bottom trawls,Bottom trawls,C3,03.1.0,6,TRA,Trawl,OTB,"Otter trawls, bottom",tr,trawl,trawlers,trawlers,
850,8.5,mid-water trawls,Otter trawls,OTM,03.2.1,8,TRM,Trawl midwater,OTM ,"Otter trawls, midwater",tr,trawl,trawlers,trawlers,
840,8.4,Shrimp trawl,Shrimp trawl,TBS,03.1.5,6,TRA,Trawl,OTS,Shrimp trawl,tr,trawl,trawlers,trawlers,
840,8.4,Otter twin trawls ,Otter twin trawls ,OTT ,03.3.0,6,TRA,Trawl,OTT ,Otter twin trawls ,tr,trawl,trawlers,trawlers,
842,8.4.2,"bottom trawls, pair","Pair trawls, bottom",PTB ,03.1.3,6,TRA,Trawl,PTB ,"Pair trawls, bottom",tr,trawl,trawlers,trawlers,
852,8.5.2,"mid-water trawls, pair","Pair trawls, midwater",PTM ,03.2.2,8,TRM,Trawl midwater,PTM ,"Pair trawls, midwater",tr,trawl,trawlers,trawlers,
843,8.4.3,Beam trawls,Beam trawls,TBB ,03.1.1,6,TRA,Trawl,TBB ,Beam trawls,tr,trawl,trawlers,trawlers,
900,9,seine nets,Scottish seines,SSC,02.2.2,9,SSN,Seine,SV_,Boat seines ,ps,purse seine,other_seines,seiners,
900,9,seine nets,Seine nets,C2,02.0.0,9,SSN,Seine,SV_,Boat seines ,ps,purse seine,other_seines,seiners,
920,9.2,genuine seine net,Seine nets,C2,02.0.0,9,SSN,Seine,SV_,Boat seines ,ps,purse seine,other_seines,seiners,
921,9.2.1,beach seines,Beach seines,SB,02.1.0,9,SSN,Seine,SB_,Beach seines ,ps,purse seine,other_seines,seiners,
922,9.2.2,boat seines,Boat or vessel seines,SV,02.2.0,9,SSN,Seine,SV_,Boat seines ,ps,purse seine,other_seines,seiners,
1000,10,surrounding nets,Danish seines,SDN,02.2.1,6,TRA,Seine,PS_,Purse seine,ps,purse seine,other_seines,seiners,
1010,10.1,lampara-like nets,Without purse lines (lampara),LA,01.2.0,10,PSO,Purse seine Non-tuna,PS_,Purse seine,ps,purse seine,other_seines,seiners,
1020,10.2,purse seines,With purse lines (purse seines),PS,01.1.0,10,PSO,Purse seine Non-tuna,PS_,Purse seine,ps,purse seine,purse_seines,seiners,
1030,10.3,ring nets,With purse lines (purse seines),PS,01.1.0,9,SSN,Seine,PS_,Purse seine,ps,purse seine,other_purse_seines,seiners,
1050,10.5,purse seine tuna,With purse lines (purse seines),PS,01.1.0,14,PST,Purse seine Tuna,PS_,Purse seine,ps,purse seine,tuna_purse_seines,seiners,
1100,11,drive-in nets,Lift nets,C5,05.0.0,9,SSN,Seine,LNB ,Boat-operated lift nets ,ne,net,,driftnets,
1200,12,liftnets or dipnets,Lift nets,C5,05.0.0,9,SSN,Seine,LNB ,Boat-operated lift nets ,ne,net,,driftnets,
1210,12.1,hand liftnets,Lift nets (not specified),LN,05.9.0,9,SSN,Seine,,,,net,,,
1320,13.2,"cast nets, with or without pockets",Cast nets,FCN,06.1.0,1,OTH,Other,LNB ,Boat-operated lift nets ,ne,net,,driftnets,
1400,14,gillnets,Combined gillnets-trammel nets,GTN,07.6.0,11,GIL,Gillnet,GNB,Bottom gillnet,ne,net,set_gillnets,set_gillnets,
1400,14,gillnets,Gillnets and entangling nets,C7,07.0.0,11,GIL,Gillnet,GNB,Bottom gillnet,ne,net,set_gillnets,set_gillnets,
1410,14.1,set gillnets,Fixed gill nets (on stakes),GNF,07.4.0,11,GIL,Gillnet,GNS,Surface & Bottom Set Gillnet ,ne,net,set_gillnets,set_gillnets,
1410,14.1,set gillnets,Set gillnets (anchored),GNS,07.1.0,11,GIL,Gillnet,GNS,Surface & Bottom Set Gillnet ,ne,net,set_gillnets,set_gillnets,
1420,14.2,driftnets,Driftnets,GND,07.2.0,11,GIL,Gillnet,GNP,Pelagic gillnets,ne,net,driftnets,driftnets,
1500,15,tangle nets,Trammel nets,GTR,07.5.0,11,GIL,Gillnet,GTR ,Trammel nets ,ne,net,other_fishing,other_fishing,
1540,15.4,trammel nets,Trammel nets,GTR,07.5.0,11,GIL,Gillnet,GTR ,Trammel nets ,ne,net,other_fishing,other_fishing,
,,,,,,,,,,,,,fishing,fishing,
,,,,,,,,,,,,,fixed_gear,fixed_gear,
,,,,,,,,,,,,,,,Purse Seine Anchored FADs
,,,,,,,,,,,,,,,Purse Seine Drifting FADs
,,,,,,,,,,,,,,,Pole and Line Anchored FADs
